Feature,Importance
Customer_Age,0.034579308091796365
Dependent_count,0.01615047502065308
Education_Level,0.01633427586785062
Income_Category,0.01442802943233059
Months_on_book,0.030890369815449813
Total_Relationship_Count,0.05358259195198544
Months_Inactive_12_mon,0.04169339390553417
Contacts_Count_12_mon,0.03383213174169703
Credit_Limit,0.04054865040190478
Total_Revolving_Bal,0.12877625396273878
Avg_Open_To_Buy,0.04263791650466477
Total_Amt_Chng_Q4_Q1,0.06681687960335712
Total_Trans_Ct,0.2469208294275932
Total_Ct_Chng_Q4_Q1,0.12627289459205765
Avg_Utilization_Ratio,0.07853008781717881
Gender_M,0.008518770841389776
Marital_Status_Married,0.0069782577239565985
Marital_Status_Single,0.005759587074553326
Marital_Status_Unknown,0.0025365383328162434
Card_Category_Gold,0.00174887483612802
Card_Category_Platinum,5.58575503696656e-05
Card_Category_Silver,0.0024080255039940234
